City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Itapecerica Da Serra,BR,2021-07-14 19:32:43,-23.7169,-46.8492,75.34,64,58,5.06
223,Gornopravdinsk,RU,2021-07-14 19:32:43,60.05,69.9,45.3,95,100,13.38
224,Tambura,SS,2021-07-14 19:32:44,5.6,27.4667,68.81,91,99,3.76
225,Aquiraz,BR,2021-07-14 19:32:44,-3.9014,-38.3911,87.22,57,81,9.95
226,Cadillac,US,2021-07-14 19:30:56,44.2519,-85.4012,83.43,51,1,12.66
227,Nouadhibou,MR,2021-07-14 19:32:45,20.931,-17.0347,71.58,83,1,21.85
228,Ambositra,MG,2021-07-14 19:32:45,-20.5167,47.25,53.58,87,99,2.33
229,Qaanaaq,GL,2021-07-14 19:32:45,77.484,-69.3632,38.79,94,100,2.1
230,San Cristobal,VE,2021-07-14 19:32:46,7.7669,-72.225,80.78,44,25,7.47
231,Port Hardy,CA,2021-07-14 19:32:46,50.6996,-127.4199,60.69,77,35,7.65
232,Axim,GH,2021-07-14 19:32:46,4.8699,-2.2405,77.13,82,100,10.56
233,Nador,MA,2021-07-14 19:32:47,35.174,-2.9287,75.27,78,20,8.05
234,Zemio,CF,2021-07-14 19:32:47,5.0314,25.1361,69.39,98,87,4.54
235,Eyrarbakki,IS,2021-07-14 19:32:47,63.863,-21.1481,52.21,86,80,25.26
236,Yantal,RU,2021-07-14 19:32:48,56.8471,105.2542,62.65,78,100,4.0
237,Soyo,AO,2021-07-14 19:32:48,-6.1349,12.3689,71.91,89,25,10.36
238,Caravelas,BR,2021-07-14 19:32:49,-17.7125,-39.2481,73.92,77,0,5.39
239,Uruzgan,AF,2021-07-14 19:32:49,32.8333,66.0,77.97,14,0,3.94
240,Tuatapere,NZ,2021-07-14 19:32:49,-46.1333,167.6833,43.83,78,58,4.92
241,Dilla,ET,2021-07-14 19:32:50,6.41,38.31,59.32,94,99,3.09
242,Padang,ID,2021-07-14 19:32:50,-0.9492,100.3543,75.34,71,94,4.36
243,Rio Branco,BR,2021-07-14 19:32:50,-9.9747,-67.81,92.01,46,40,5.75
244,Peleduy,RU,2021-07-14 19:32:51,59.6289,112.7406,65.82,58,100,7.34
245,Norman Wells,CA,2021-07-14 19:32:51,65.282,-126.8329,60.69,64,93,12.8
246,Bara,NG,2021-07-14 19:32:52,10.3744,10.7288,79.27,69,91,6.71
247,De-Kastri,RU,2021-07-14 19:32:52,51.4667,140.7833,62.33,99,100,1.99
248,Baghdad,IQ,2021-07-14 19:31:43,33.3406,44.4009,93.11,22,0,4.61
249,Comodoro Rivadavia,AR,2021-07-14 19:32:53,-45.8667,-67.5,55.26,38,40,25.32
250,Tura,IN,2021-07-14 19:32:53,25.5198,90.2201,73.6,96,99,3.74
251,Kisangani,CD,2021-07-14 19:32:53,0.5167,25.2,78.03,60,98,2.01
252,Coquimbo,CL,2021-07-14 19:29:38,-29.9533,-71.3436,58.73,62,0,10.36
253,Phangnga,TH,2021-07-14 19:32:54,8.4509,98.5298,79.92,95,100,2.53
254,Cam Ranh,VN,2021-07-14 19:32:54,11.9214,109.1591,76.96,94,0,1.14
255,Cockburn Town,TC,2021-07-14 19:30:09,21.4612,-71.1419,81.21,74,7,15.08
256,Mnogovershinnyy,RU,2021-07-14 19:32:55,53.9353,139.9242,60.13,68,100,2.66
257,Marshfield,US,2021-07-14 19:31:00,44.6689,-90.1718,78.39,96,100,9.37
258,Constitucion,CL,2021-07-14 19:32:56,-35.3333,-72.4167,54.43,61,0,13.76
259,Nieuw Nickerie,SR,2021-07-14 19:32:56,5.95,-56.9833,81.12,81,74,9.48
260,Meihekou,CN,2021-07-14 19:32:56,42.5272,125.6753,73.04,78,87,6.46
261,Antofagasta,CL,2021-07-14 19:29:12,-23.65,-70.4,60.08,72,83,12.15
262,Verkhoyansk,RU,2021-07-14 19:32:57,67.5447,133.385,48.79,65,95,8.99
263,Nadym,RU,2021-07-14 19:32:57,65.5333,72.5167,48.36,63,99,7.16
264,Mrakovo,RU,2021-07-14 19:32:58,52.7161,56.6244,53.42,71,2,3.85
265,Mahajanga,MG,2021-07-14 19:32:58,-15.7167,46.3167,73.42,60,20,6.91
266,Tasiilaq,GL,2021-07-14 19:32:58,65.6145,-37.6368,42.96,94,100,3.15
267,Laguna,US,2021-07-14 19:32:59,38.421,-121.4238,99.43,42,1,10.36
268,Cervo,ES,2021-07-14 19:32:59,43.6702,-7.4101,64.96,86,81,5.88
269,Guasdualito,VE,2021-07-14 19:32:59,7.2424,-70.7324,84.02,71,31,5.28
270,Clyde River,CA,2021-07-14 19:33:00,70.4692,-68.5914,47.07,64,10,8.43
271,Maragogi,BR,2021-07-14 19:28:17,-9.0122,-35.2225,77.43,82,16,12.01
272,Ternate,ID,2021-07-14 19:33:00,0.8,127.4,79.5,81,100,4.7
273,Tabou,CI,2021-07-14 19:33:00,4.423,-7.3528,76.37,74,100,7.72
274,Lavrentiya,RU,2021-07-14 19:33:01,65.5833,-171.0,48.29,85,64,4.81
275,Krasnoselkup,RU,2021-07-14 19:33:01,65.7,82.4667,43.48,70,90,11.12
276,Batagay-Alyta,RU,2021-07-14 19:33:02,67.8006,130.4114,44.92,69,28,1.59
277,Pandan,PH,2021-07-14 19:33:02,14.0453,124.1694,79.07,84,100,3.51
278,Port Elizabeth,ZA,2021-07-14 19:33:02,-33.918,25.5701,44.89,87,40,4.61
279,Soto La Marina,MX,2021-07-14 19:33:03,23.7667,-98.2167,89.71,50,100,10.0
280,Pekan,MY,2021-07-14 19:33:03,3.4836,103.3996,75.31,89,100,6.51
